Product_Name,Sex,Listing_Price,Sale_Price,Price_Difference,Discount,Brand,Catetory_Production,Rating,Reviews
"Men's adidas Originals Sobakov Shoes",Male,10999,6599,4400,40%,ADIDAS,"ADIDAS ORIGINALS",4.8,26
"Men's adidas Originals U_Path Run Shoes",Male,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",0,56
"Men's adidas Originals Swift Run Shoes",Male,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",4.9,12
"Men's adidas Originals Rivalry RM Low Shoes",Male,10999,6599,4400,40%,ADIDAS,"ADIDAS ORIGINALS",3,88
"Men's adidas Originals Temper Run Shoes",Male,12999,7799,5200,40%,ADIDAS,"ADIDAS ORIGINALS",2.5,52
"Men's adidas Originals Yung-96 Chasm Shoes",Male,7999,4799,3200,40%,ADIDAS,"ADIDAS ORIGINALS",4.4,59
"Men's adidas Originals Rivalry Low Shoes",Male,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",2.8,0
"Men's adidas Originals Rivalry RM Low Shoes",Male,10999,6599,4400,40%,ADIDAS,"ADIDAS ORIGINALS",1.5,36
"Men's adidas Outdoor Terrex Eastrail Mid GTX Shoes",Male,11999,7199,4800,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",0,90
"Men's adidas Running PureBounce+ Clima Shoes",Male,8999,4499,4500,50%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.2,20
"Men's adidas Originals U_Path Run Shoes",Male,7599,4559,3040,40%,ADIDAS,"ADIDAS ORIGINALS",3.2,36
"Men's adidas Originals Yung-96 Chasm Shoes",Male,7999,4799,3200,40%,ADIDAS,"ADIDAS ORIGINALS",3,62
"Men's adidas Swimming Eezay 2019 Slippers",Male,1499,1499,0,0%,ADIDAS,"ADIDAS CORE/NEO",4.5,21
"Men's adidas Running PureBounce+ Street Shoes",Male,7999,3999,4000,50%,ADIDAS,"ADIDAS SPORT PERFORMANCE",3.1,90
"Men's adidas Sport Inspired Drogo Shoes",Male,2699,1889,810,30%,ADIDAS,"ADIDAS CORE/NEO",4.6,84
"MEN'S ADIDAS ORIGINALS FOREST GROVE SHOES",Male,6999,3499,3500,50%,ADIDAS,"ADIDAS ORIGINALS",2.4,48
"Men's adidas Outdoor Adipu 2019 Sandals",Male,2999,1799,1200,40%,ADIDAS,"ADIDAS SPORT PERFORMANCE",4.8,32
"MEN'S ADIDAS ORIGINALS SWIFT RUN SHOES",Male,7599,3799,3800,50%,ADIDAS,"ADIDAS ORIGINALS",3.6,40
"MEN'S ADIDAS ORIGINALS SUPERSTAR 80S CLEAN SHOES",Male,8999,4499,4500,50%,ADIDAS,"ADIDAS ORIGINALS",2.6,10
